latitude,longitude,Year,risk_score
22.3913377,92.7397189,2013,9
22.9519972,92.6338827,2013,28
23.7564387,92.4515374,2013,10
22.488034,92.9813358,2013,5
23.3052514,92.8455123,2013,11
25.9041378,93.7177609,2013,42
25.8113822,94.8494968,2013,2
25.6618755,94.1019156,2013,5
26.5839315,94.8045481,2013,0
26.4795861,94.5105275,2013,3
26.666667,95.0,2013,2
25.4502306,93.6001154,2013,1
25.6514473,94.3809788,2013,4
26.2342107,94.741553,2013,1
26.2422509,94.1921153,2013,0
26.0123802,94.5123719,2013,0
21.102538,84.9536825,2013,465
21.5006421,86.919884,2013,499
21.3335004,83.6190492,2013,240
21.4930851,86.6327298,2013,276
20.9854052,86.5934226,2013,305
20.7502257,83.2499464,2013,189
20.6407463,83.9969704,2013,193
20.4686,85.8792,2013,113
21.5370786,84.7301184,2013,66
20.8351494,85.6022305,2013,467
19.1966026,84.1930634,2013,107
19.6090067,84.7080633,2013,537
20.2593872,86.1660878,2013,283
20.8746788,86.1215393,2013,344
21.8019368,83.9713964,2013,129
19.8265756,83.0408702,2013,266
20.1306939,84.0790476,2013,189
20.5475164,86.5296168,2013,177
21.5,85.5,2013,442
20.1531141,85.7076331,2013,194
18.7232023,82.6100596,2013,241
21.9156338,86.3961824,2013,602
20.2393682,85.050728,2013,89
20.5412657,82.5292352,2013,184
19.8343066,85.6853295,2013,192
19.4426698,83.5873053,2013,296
22.2309255,84.8678705,2013,264
21.5570606,84.1528515,2013,190
20.8453864,83.909083,2013,96
22.0605153,83.9359154,2013,173
30.3716802,75.5039887,2013,65
31.8193025,75.1999941,2013,86
30.206791,74.9463699,2013,157
31.6356659,74.8787496,2013,135
31.3323762,75.576889,2013,178
30.9090157,75.851601,2013,300
30.6014507,74.7950176,2013,66
30.6634041,76.3803,2013,50
30.3198406,74.1217943,2013,80
31.4684097,74.3498676,2013,53
31.7527223,72.9571173,2013,9
31.9037264,75.2275587,2013,100
31.6092942,75.8459754,2013,118
31.3856476,75.3053304,2013,109
30.700625,76.2220763,2013,62
29.8764133,75.4889564,2013,43
30.7877554,75.159359,2013,86
30.4692,74.5182,2013,80
32.3021899,75.6589406,2013,36
30.2092777,76.3397231,2013,196
30.9688367,76.526088,2013,101
30.135717,75.8533326,2013,143
29.5546037,73.1453165,2013,194
30.8260412,75.1989654,2013,42
31.3212453,74.8416687,2013,108
31.5567096,74.4160287,2013,2920
26.4691,74.639,2013,421
27.4140048,76.6170387,2013,857
23.4915046,74.3502172,2013,330
24.9208165,76.6821985,2013,376
25.5814853,71.1924922,2013,270
27.0246959,77.2920116,2013,521
25.4891177,74.3300726,2013,343
28.0159286,73.3171367,2013,234
25.4367659,75.7361471,2013,278
24.7171578,74.4718129,2013,385
28.2047781,74.6912996,2013,142
26.8048658,76.4437457,2013,307
26.7010642,77.896749,2013,156
23.8538893,73.7087177,2013,289
26.4691823,74.6458827,2013,16
29.9049489,73.8792934,2013,417
29.3659533,74.298429,2013,318
26.9826904,76.0128262,2013,287
26.9178997,75.7529805,2013,261
26.9116615,70.9124888,2013,114
25.2718629,72.4388121,2013,154
24.3132368,76.5221078,2013,537
28.0810679,75.3792478,2013,184
26.4111229,72.4105099,2013,187
26.4530971,77.0160461,2013,204
25.1737019,75.8574194,2013,341
26.9873443,73.7389011,2013,313
25.455221,73.419389,2013,452
24.0232221,74.6250275,2013,509
25.2892459,73.8241077,2013,179
26.1137182,76.4240637,2013,167
27.6625058,75.0279905,2013,256
24.8114047,72.8300257,2013,217
26.122266,75.8238631,2013,184
24.578721,73.6862571,2013,768
27.5858069,88.1101127,2013,47
27.666667,88.5,2013,1
27.333333,88.416667,2013,28
27.9820852,88.6848163,2013,12
11.1530559,79.2585797,2013,51
13.0836939,80.270186,2013,180
11.520207,79.3396356,2013,92
12.145613,78.1132217,2013,222
10.4256897,77.815664,2013,154
11.4905281,77.3505274,2013,65
12.9647163,79.9839686,2013,48
8.079252,77.5499338,2013,47
10.8217671,78.3828654,2013,33
12.5152075,78.0093769,2013,122
10.6026202,79.7619348,2013,60
11.3033889,78.118604,2013,118
11.4449997,76.69752,2013,42
11.2902641,78.9300404,2013,25
10.3826515,78.8191259,2013,88
9.5,78.5,2013,56
9.9650599,78.7204283,2013,77
10.659037,79.2014278,2013,138
9.8692558,77.4222974,2013,100
13.2537619,80.0562572,2013,55
9.539867,77.6197904,2013,125
10.6878621,79.4979437,2013,37
10.7915267,77.5325466,2013,99
12.9021849,79.061104,2013,166
11.9398285,79.4945645,2013,349
9.4926289,77.8631831,2013,74
23.8253158,91.9732227,2013,67
23.4987407,91.2999111,2013,104
23.9563913,91.642107,2013,69
24.0921476,92.2451214,2013,80
23.5307446,91.3015654,2013,113
23.1708278,91.638817,2013,84
24.1909848,92.0460483,2013,71
23.9153328,91.3879341,2013,176
27.1752554,78.0098161,2013,652
27.8761073,78.1358153,2013,745
25.4381302,81.8338005,2013,556
26.4045941,82.6065154,2013,86
26.346274,81.6252039,2013,231
28.7952632,78.3436244,2013,172
26.6558215,79.5160757,2013,124
26.023639,83.0293105,2013,194
28.0649367,79.043832,2013,284
29.0374779,77.3062737,2013,153
27.7343823,81.47654,2013,219
25.8749594,84.1210329,2013,248
27.4476988,82.3956245,2013,112
25.4438537,80.5595237,2013,311
26.9421406,81.3856087,2013,156
28.4582344,79.4047452,2013,573
26.8387083,82.5350919,2013,157
29.4074203,78.4821406,2013,398
28.5246712,77.5996529,2013,549
25.2158257,80.9164001,2013,80
26.4239911,83.7638578,2013,276
27.5550357,78.5992221,2013,257
26.7155629,79.0917098,2013,127
26.7807986,82.1486589,2013,249
27.3700748,79.620752,2013,150
25.8348023,80.9154547,2013,241
27.1941954,78.4604956,2013,338
28.7749966,77.4586967,2013,606
25.6034862,83.5075888,2013,174
27.1103723,81.9238906,2013,235
26.6677977,83.3642334,2013,480
25.75,80.0,2013,235
28.7166767,77.890433,2013,181
27.3369978,80.0998232,2013,289
27.5724324,78.1116209,2013,196
26.1048633,79.3919136,2013,111
25.7967065,82.4888992,2013,259
25.529855,78.6527802,2013,186
26.9986675,79.6927946,2013,140
26.4585639,79.8548052,2013,148
26.4410107,80.2652803,2013,399
27.7888527,78.8229701,2013,149
25.5342456,81.4493567,2013,191
24.6999688,78.51862,2013,86
26.8381,80.9346001,2013,811
27.0936024,83.5660681,2013,184
25.3615938,79.706011,2013,136
27.2093072,79.0625369,2013,254
27.4955539,77.6855554,2013,296
26.0390904,83.4985846,2013,173
29.0018557,77.7679671,2013,668
24.9316896,82.6280163,2013,18
28.8796553,78.8095335,2013,398
29.4496978,77.7429333,2013,388
28.4947158,80.1076122,2013,188
25.75,81.75,2013,374
28.7934728,79.1845806,2013,165
29.9856799,77.5040646,2013,261
28.4271927,78.5564546,2013,248
27.9128583,79.7476254,2013,256
29.4811507,77.2901344,2013,187
27.5026747,80.8335139,2013,562
24.4148159,83.0637517,2013,71
26.2604732,82.2380532,2013,223
26.5673264,80.6198193,2013,333
25.3356491,83.0076292,2013,472
29.7026509,79.4326318,2013,33
30.0087902,79.9280183,2013,9
30.4985956,79.6190537,2013,50
29.235032,80.1023068,2013,20
30.3255646,78.0436813,2013,251
29.9384473,78.1452985,2013,343
29.3905295,79.460869,2013,108
29.8473168,78.7070479,2013,39
29.585871,80.215167,2013,30
30.4658181,78.4837349,2013,21
30.9635733,78.6362521,2013,19
22.6926815,88.6625795,2013,680
22.1776733,88.5307853,2013,798
23.6871297,86.9746587,2013,191
23.132377,87.2081925,2013,136
24.0621532,87.6982823,2013,185
23.2495714,87.8681751,2013,271
26.340623,89.4812163,2013,491
25.385807,88.5063362,2013,204
27.0377554,88.263176,2013,119
22.9099402,88.0120825,2013,360
22.5736296,88.3251045,2013,246
26.6262805,88.7334485,2013,689
22.4538505,86.9949477,2013,69
22.5726459,88.3638953,2013,927
25.0057449,88.1398483,2013,499
24.1745993,88.2721335,2013,963
23.4847374,88.5567067,2013,646
23.2020967,86.3228988,2013,181
26.7164127,88.4309916,2013,356
25.8721428,87.961986,2013,528
38.9785415,1.3074531,2013,3
33.7957909,-117.8360596,2013,20
32.408083,-80.7147249,2013,61
30.7334421,76.7797143,2013,362
20.4169701,72.833173,2013,13
20.7155234,70.9782197,2013,3
10.8132489,73.6804621,2013,3
10.91571,79.8375761,2013,9
11.9340568,79.8306447,2013,45
